[ 2025-02-22 15:59:25,873 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2025-02-22 15:59:26,328 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2025-02-22 15:59:26,673 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-02-22 15:59:26,681 ] 107 dagshub - INFO - Accessing as daneshpm
[ 2025-02-22 15:59:27,046 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/daneshpm/networksecurity "HTTP/1.1 200 OK"
[ 2025-02-22 15:59:27,369 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-02-22 15:59:27,372 ] 107 dagshub - INFO - Initialized MLflow to track repo "daneshpm/networksecurity"
[ 2025-02-22 15:59:27,372 ] 107 dagshub - INFO - Repository daneshpm/networksecurity initialized!
[ 2025-02-22 15:59:27,372 ] 20 root - INFO - Initiate the data ingestion
[ 2025-02-22 15:59:33,451 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-22 15:59:33,451 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-22 15:59:33,452 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-22 15:59:33,495 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-22 15:59:33,495 ] 22 root - INFO - Data Initiation Completed
[ 2025-02-22 15:59:33,504 ] 26 root - INFO - Initiate the data Validation
[ 2025-02-22 15:59:33,567 ] 32 root - INFO - Required number of columns:2
[ 2025-02-22 15:59:33,567 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-22 15:59:33,567 ] 32 root - INFO - Required number of columns:2
[ 2025-02-22 15:59:33,567 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-22 15:59:33,692 ] 28 root - INFO - data Validation Completed
[ 2025-02-22 15:59:33,693 ] 31 root - INFO - data Transformation started
[ 2025-02-22 15:59:33,693 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-22 15:59:33,693 ] 65 root - INFO - Starting data transformation
[ 2025-02-22 15:59:33,721 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-02-22 15:59:33,721 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-22 15:59:33,737 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-22 15:59:33,741 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-22 15:59:33,741 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-22 15:59:33,744 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-22 15:59:33,745 ] 35 root - INFO - data Transformation completed
[ 2025-02-22 15:59:33,746 ] 37 root - INFO - Model Training sstared
[ 2025-02-22 16:02:47,902 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-22 16:02:47,903 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-22 16:02:47,903 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\02_22_2025_15_59_08\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9916513948279373, precision_score=0.9888324873096447, recall_score=0.9944864202573004), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.973851030110935, precision_score=0.9723101265822784, recall_score=0.9753968253968254))
[ 2025-02-22 16:02:47,907 ] 42 root - INFO - Model Training artifact created
