[ 2025-02-22 14:59:09,737 ] 20 root - INFO - Initiate the data ingestion
[ 2025-02-22 14:59:17,618 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-22 14:59:17,618 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-22 14:59:17,619 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-22 14:59:17,661 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-22 14:59:17,661 ] 22 root - INFO - Data Initiation Completed
[ 2025-02-22 14:59:17,668 ] 26 root - INFO - Initiate the data Validation
[ 2025-02-22 14:59:17,729 ] 32 root - INFO - Required number of columns:2
[ 2025-02-22 14:59:17,730 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-22 14:59:17,730 ] 32 root - INFO - Required number of columns:2
[ 2025-02-22 14:59:17,730 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-22 14:59:17,844 ] 28 root - INFO - data Validation Completed
[ 2025-02-22 14:59:17,845 ] 31 root - INFO - data Transformation started
[ 2025-02-22 14:59:17,845 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-22 14:59:17,845 ] 65 root - INFO - Starting data transformation
[ 2025-02-22 14:59:17,869 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-02-22 14:59:17,869 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-22 14:59:17,884 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-22 14:59:17,887 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-22 14:59:17,888 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-22 14:59:17,891 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-22 14:59:17,892 ] 35 root - INFO - data Transformation completed
