[ 2025-02-22 15:16:02,919 ] 20 root - INFO - Initiate the data ingestion
[ 2025-02-22 15:16:09,093 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-22 15:16:09,093 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-22 15:16:09,094 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-22 15:16:09,136 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-22 15:16:09,136 ] 22 root - INFO - Data Initiation Completed
[ 2025-02-22 15:16:09,143 ] 26 root - INFO - Initiate the data Validation
[ 2025-02-22 15:16:09,203 ] 32 root - INFO - Required number of columns:2
[ 2025-02-22 15:16:09,203 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-22 15:16:09,203 ] 32 root - INFO - Required number of columns:2
[ 2025-02-22 15:16:09,203 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-22 15:16:09,319 ] 28 root - INFO - data Validation Completed
[ 2025-02-22 15:16:09,319 ] 31 root - INFO - data Transformation started
[ 2025-02-22 15:16:09,320 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-22 15:16:09,320 ] 65 root - INFO - Starting data transformation
[ 2025-02-22 15:16:09,342 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-02-22 15:16:09,343 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-22 15:16:09,355 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-22 15:16:09,358 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-22 15:16:09,358 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-22 15:16:09,361 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-22 15:16:09,362 ] 35 root - INFO - data Transformation completed
[ 2025-02-22 15:16:09,362 ] 37 root - INFO - Model Training sstared
