[ 2025-02-22 15:43:28,774 ] 20 root - INFO - Initiate the data ingestion
[ 2025-02-22 15:43:34,836 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-22 15:43:34,836 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-22 15:43:34,836 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-22 15:43:34,878 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-22 15:43:34,878 ] 22 root - INFO - Data Initiation Completed
[ 2025-02-22 15:43:34,884 ] 26 root - INFO - Initiate the data Validation
[ 2025-02-22 15:43:34,942 ] 32 root - INFO - Required number of columns:2
[ 2025-02-22 15:43:34,942 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-22 15:43:34,942 ] 32 root - INFO - Required number of columns:2
[ 2025-02-22 15:43:34,942 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-22 15:43:35,052 ] 28 root - INFO - data Validation Completed
[ 2025-02-22 15:43:35,053 ] 31 root - INFO - data Transformation started
[ 2025-02-22 15:43:35,053 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-22 15:43:35,053 ] 65 root - INFO - Starting data transformation
[ 2025-02-22 15:43:35,080 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-02-22 15:43:35,080 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-22 15:43:35,095 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-22 15:43:35,099 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-22 15:43:35,099 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-22 15:43:35,102 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-22 15:43:35,103 ] 35 root - INFO - data Transformation completed
[ 2025-02-22 15:43:35,103 ] 37 root - INFO - Model Training sstared
[ 2025-02-22 15:46:40,197 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-22 15:46:40,198 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-22 15:46:40,198 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\02_22_2025_15_43_25\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9917607567897467, precision_score=0.9902498476538696, recall_score=0.9932762836185819), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9732961339178956, precision_score=0.969047619047619, recall_score=0.977582065652522))
[ 2025-02-22 15:46:40,204 ] 42 root - INFO - Model Training artifact created
