[ 2025-02-22 14:10:00,588 ] 20 root - INFO - Initiate the data ingestion
[ 2025-02-22 14:10:07,120 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-22 14:10:07,120 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-22 14:10:07,121 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-22 14:10:07,167 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-22 14:10:07,167 ] 22 root - INFO - Data Initiation Completed
[ 2025-02-22 14:10:07,176 ] 26 root - INFO - Initiate the data Validation
[ 2025-02-22 14:10:07,238 ] 32 root - INFO - Required number of columns:2
[ 2025-02-22 14:10:07,238 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-22 14:10:07,238 ] 32 root - INFO - Required number of columns:2
[ 2025-02-22 14:10:07,238 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-22 14:10:07,354 ] 28 root - INFO - data Validation Completed
